,Country,Continent_no,Continent,happiness_score,gdp_pc,emissions,emissions_pc,population,percepted_corruption,HALE
206,United States,4.0,Americas,6.892,1.433,5776431.5,0.019074139564986246,302841.0,0.128,69.0
36,China,7.0,South & Eastern Asia,5.191,1.029,5547757.5,0.004176037694377158,1328474.0,0.1,64.0
160,Russia,2.0,Europe,5.648,1.183,1503302.5,0.01049638321195914,143221.0,0.031,58.0
82,India,7.0,South & Eastern Asia,4.015,0.755,1402359.4,0.001217589044854313,1151751.0,0.085,53.0
92,Japan,6.0,South-East Asia,5.886,1.327,1230026.8,0.009613114190366775,127953.0,0.14,75.0
68,Germany,2.0,Europe,6.985,1.373,783982.44,0.009486603985914981,82641.0,0.265,72.0
205,United Kingdom,2.0,Europe,7.054,1.333,546416.0,0.009029878371232153,60512.0,0.278,71.0
31,Canada,4.0,Americas,7.278,1.365,537523.44,0.016500090247720783,32577.0,0.308,72.0
89,Italy,2.0,Europe,6.223,1.294,452108.28,0.007691663349155311,58779.0,0.03,73.0
123,Mexico,4.0,Americas,6.595,1.07,421517.56,0.004001419756602305,105342.0,0.073,65.0
83,Indonesia,6.0,South-East Asia,5.192,0.931,419593.94,0.0018333767652404921,228864.0,0.028,58.0
178,South Africa,3.0,Africa,4.722,0.96,408792.47,0.008466767532413735,48282.0,0.055,44.0
168,Saudi Arabia,1.0,Eastern Mediterranean,6.375,1.403,381110.97,0.015764673009307135,24175.0,0.132,61.0
63,France,2.0,Europe,6.592,1.324,377692.44,0.006158363606717757,61330.0,0.183,72.0
8,Australia,6.0,South-East Asia,7.228,1.372,368858.53,0.017966806137359962,20530.0,0.29,73.0
181,Spain,2.0,Europe,6.354,1.286,343701.53,0.007831511153644588,43887.0,0.079,73.0
203,Ukraine,2.0,Europe,4.332,0.82,327129.25,0.007026424597804841,46557.0,0.01,59.0
24,Brazil,5.0,South America,6.3,1.004,325487.78,0.0017192194292294123,189323.0,0.086,60.0
155,Poland,2.0,Europe,6.182,1.206,302389.9,0.007928418982695334,38140.0,0.05,66.0
192,Thailand,6.0,South-East Asia,6.008,1.05,270894.2,0.004269815900636782,63444.0,0.028,60.0
199,Turkey,2.0,Europe,5.373,1.183,247873.27,0.003353173209599307,73922.0,0.106,62.0
116,Malaysia,6.0,South-East Asia,5.339,1.221,239834.45,0.009184133032090067,26114.0,0.024,63.0
94,Kazakhstan,2.0,Europe,5.809,1.173,180924.66,0.011814330677811154,15314.0,0.096,56.0
55,Egypt,1.0,Eastern Mediterranean,4.166,0.913,173483.08,0.0023391187336515382,74166.0,0.067,59.0
6,Argentina,5.0,South America,6.086,1.092,152711.86,0.0039022808810752793,39134.0,0.05,65.0
210,Venezuela,5.0,South America,4.707,0.96,148117.2,0.005447287705490788,27191.0,0.047,64.0
2,Algeria,3.0,Africa,5.211,1.002,137535.56,0.004123881142994213,33351.0,0.114,61.0
147,Pakistan,7.0,South & Eastern Asia,5.653,0.677,134300.25,0.0008344584728754901,160943.0,0.098,53.0
135,Netherlands,2.0,Europe,7.488,1.396,125759.47,0.007678092069112888,16379.0,0.298,71.0
204,United Arab Emirates,1.0,Eastern Mediterranean,6.825,1.503,123733.28,0.029127419962335217,4248.0,0.182,64.0
49,Czech Republic,2.0,Europe,6.852,1.269,119691.89,0.011747167533614683,10189.0,0.036,68.0
141,Nigeria,3.0,Africa,5.265,0.696,114298.48,0.0007897904919845218,144720.0,0.041,42.0
208,Uzbekistan,2.0,Europe,6.174,0.745,112356.56,0.004164284496497535,26981.0,0.24,59.0
16,Belgium,2.0,Europe,6.923,1.356,102599.33,0.00983694439117929,10430.0,0.21,71.0
211,Vietnam,6.0,South-East Asia,5.175,0.741,101826.23,0.0011811965524441454,86206.0,0.073,61.0
70,Greece,2.0,Europe,5.287,1.181,95359.27,0.008573161017711049,11123.0,0.034,71.0
100,Kuwait,1.0,Eastern Mediterranean,6.021,1.5,93585.89,0.03367610291471752,2779.0,0.097,67.0
159,Romania,2.0,Europe,6.07,1.162,89075.51,0.004136889745495077,21532.0,0.005,63.0
86,Iraq,1.0,Eastern Mediterranean,4.437,1.043,84532.14,0.0029654157019574825,28506.0,0.089,50.0
154,Philippines,6.0,South-East Asia,5.631,0.807,74958.11,0.0008689384911434666,86264.0,0.107,59.0
9,Austria,2.0,Europe,7.246,1.376,73602.43,0.00883900924702774,8327.0,0.226,71.0
